n,b,Constant
116,"(1, 2, 4, 7, 12, 19, 28, 43)",0.48068
117,"(1, 2, 4, 7, 12, 19, 29, 43)",0.48083
118,"(1, 2, 4, 7, 12, 19, 29, 44)",0.48097
119,"(1, 2, 4, 8, 12, 19, 29, 44)",0.48111
120,"(1, 2, 4, 8, 12, 19, 30, 44)",0.48125
121,"(1, 2, 4, 8, 12, 19, 30, 45)",0.48138
122,"(1, 2, 5, 8, 12, 19, 30, 45)",0.48152
123,"(1, 2, 5, 8, 12, 20, 30, 45)",0.48165
124,"(1, 2, 5, 8, 13, 20, 30, 45)",0.48179
125,"(1, 2, 5, 8, 13, 20, 30, 46)",0.48192
126,"(1, 2, 5, 8, 13, 20, 31, 46)",0.48205
127,"(1, 3, 5, 8, 13, 20, 31, 46)",0.48218
128,"(1, 3, 5, 8, 13, 20, 31, 47)",0.48231
129,"(1, 3, 5, 8, 13, 21, 31, 47)",0.48243
130,"(1, 3, 5, 8, 13, 21, 32, 47)",0.48255
131,"(1, 3, 5, 8, 13, 21, 32, 48)",0.48268
132,"(1, 3, 5, 8, 14, 21, 32, 48)",0.48279
133,"(1, 3, 5, 8, 14, 21, 32, 49)",0.48290
134,"(1, 3, 5, 8, 14, 21, 33, 49)",0.48302
135,"(1, 3, 5, 9, 14, 21, 33, 49)",0.48313
136,"(1, 3, 5, 9, 14, 22, 33, 49)",0.48324
137,"(1, 3, 5, 9, 14, 22, 33, 50)",0.48336
138,"(1, 3, 5, 9, 14, 22, 34, 50)",0.48346
139,"(1, 3, 5, 9, 14, 22, 34, 51)",0.48357
140,"(1, 1, 3, 5, 9, 14, 22, 34, 51)",0.48367
141,"(1, 1, 3, 5, 9, 14, 23, 34, 51)",0.48377
142,"(1, 1, 3, 5, 9, 14, 23, 34, 52)",0.48387
143,"(1, 1, 3, 5, 9, 15, 23, 34, 52)",0.48397
144,"(1, 1, 3, 5, 9, 15, 23, 35, 52)",0.48408
145,"(1, 1, 3, 6, 9, 15, 23, 35, 52)",0.48417
146,"(1, 1, 3, 6, 9, 15, 23, 35, 53)",0.48427
147,"(1, 1, 3, 6, 9, 15, 23, 36, 53)",0.48437
148,"(1, 1, 3, 6, 9, 15, 24, 36, 53)",0.48446
149,"(1, 1, 3, 6, 9, 15, 24, 36, 54)",0.48456
150,"(1, 1, 3, 6, 10, 15, 24, 36, 54)",0.48465
151,"(1, 1, 3, 6, 10, 15, 24, 36, 55)",0.48474
152,"(1, 1, 3, 6, 10, 15, 24, 37, 55)",0.48483
153,"(1, 1, 3, 6, 10, 16, 24, 37, 55)",0.48493
154,"(1, 2, 3, 6, 10, 16, 24, 37, 55)",0.48502
155,"(1, 2, 3, 6, 10, 16, 24, 37, 56)",0.48511
156,"(1, 2, 3, 6, 10, 16, 25, 37, 56)",0.48520
157,"(1, 2, 3, 6, 10, 16, 25, 38, 56)",0.48528
158,"(1, 2, 3, 6, 10, 16, 25, 38, 57)",0.48537
159,"(1, 2, 4, 6, 10, 16, 25, 38, 57)",0.48545
